from_city,from_region_id,from_region_name,to_city,to_region_id,to_region_name,type,from_station,to_station,duration,distance,cost,route_id,route_name,enabled
ojiya,215,niigata,nagaoka,215,niigata,train,Ojiya,Echigo-Takiya,,,,JPRail 11342,上越線,True
nagaoka,215,niigata,ojiya,215,niigata,train,Echigo-Takiya,Ojiya,,,,JPRail 11342,上越線,True
nagaoka,215,niigata,nagaoka,215,niigata,train,Echigo-Takiya,Miyauchi,,,,JPRail 11342,上越線,True
nagaoka,215,niigata,nagaoka,215,niigata,train,Miyauchi,Echigo-Takiya,,,,JPRail 11342,上越線,True
nagaoka,215,niigata,nagaoka,215,niigata,train,Miyauchi,Nagaoka,,,,JPRail 11342,上越線,True
nagaoka,215,niigata,nagaoka,215,niigata,train,Nagaoka,Miyauchi,,,,JPRail 11342,上越線,True
toride,208,ibaraki,toride,208,ibaraki,train,Toride,Toride,,,,JPRail 11229,JR常磐線(取手～いわき),True
toride,208,ibaraki,toride,208,ibaraki,train,Toride,Toride,,,,JPRail 11229,JR常磐線(取手～いわき),True
toride,208,ibaraki,toride,208,ibaraki,train,Toride,Toride,,,,JPRail 11229,JR常磐線(取手～いわき),True
toride,208,ibaraki,toride,208,ibaraki,train,Toride,Toride,,,,JPRail 11229,JR常磐線(取手～いわき),True
toride,208,ibaraki,toride,208,ibaraki,train,Toride,Fujishiro,,,,JPRail 11229,JR常磐線(取手～いわき),True
toride,208,ibaraki,toride,208,ibaraki,train,Fujishiro,Toride,,,,JPRail 11229,JR常磐線(取手～いわき),True
toride,208,ibaraki,ryugasaki,208,ibaraki,train,Fujishiro,Sanuki,,,,JPRail 11229,JR常磐線(取手～いわき),True
ryugasaki,208,ibaraki,toride,208,ibaraki,train,Sanuki,Fujishiro,,,,JPRail 11229,JR常磐線(取手～いわき),True
ryugasaki,208,ibaraki,ushiku,208,ibaraki,train,Sanuki,Ushiku,,,,JPRail 11229,JR常磐線(取手～いわき),True
ushiku,208,ibaraki,ryugasaki,208,ibaraki,train,Ushiku,Sanuki,,,,JPRail 11229,JR常磐線(取手～いわき),True
ushiku,208,ibaraki,ushiku,208,ibaraki,train,Ushiku,Hitachino-Ushiku,,,,JPRail 11229,JR常磐線(取手～いわき),True
ushiku,208,ibaraki,ushiku,208,ibaraki,train,Hitachino-Ushiku,Ushiku,,,,JPRail 11229,JR常磐線(取手～いわき),True
ushiku,208,ibaraki,tsuchiura,208,ibaraki,train,Hitachino-Ushiku,Arakawaoki,,,,JPRail 11229,JR常磐線(取手～いわき),True
tsuchiura,208,ibaraki,ushiku,208,ibaraki,train,Arakawaoki,Hitachino-Ushiku,,,,JPRail 11229,JR常磐線(取手～いわき),True
tsuchiura,208,ibaraki,tsuchiura,208,ibaraki,train,Arakawaoki,Tsuchiura,,,,JPRail 11229,JR常磐線(取手～いわき),True
tsuchiura,208,ibaraki,tsuchiura,208,ibaraki,train,Tsuchiura,Arakawaoki,,,,JPRail 11229,JR常磐線(取手～いわき),True
tsuchiura,208,ibaraki,tsuchiura,208,ibaraki,train,Tsuchiura,Kandatsu,,,,JPRail 11229,JR常磐線(取手～いわき),True
tsuchiura,208,ibaraki,tsuchiura,208,ibaraki,train,Kandatsu,Tsuchiura,,,,JPRail 11229,JR常磐線(取手～いわき),True
tsuchiura,208,ibaraki,ishioka,208,ibaraki,train,Kandatsu,Takahama,,,,JPRail 11229,JR常磐線(取手～いわき),True
ishioka,208,ibaraki,tsuchiura,208,ibaraki,train,Takahama,Kandatsu,,,,JPRail 11229,JR常磐線(取手～いわき),True
ishioka,208,ibaraki,ishioka,208,ibaraki,train,Takahama,Ishioka,,,,JPRail 11229,JR常磐線(取手～いわき),True
ishioka,208,ibaraki,ishioka,208,ibaraki,train,Ishioka,Takahama,,,,JPRail 11229,JR常磐線(取手～いわき),True
ishioka,208,ibaraki,omitama,208,ibaraki,train,Ishioka,Hatori,,,,JPRail 11229,JR常磐線(取手～いわき),True
omitama,208,ibaraki,ishioka,208,ibaraki,train,Hatori,Ishioka,,,,JPRail 11229,JR常磐線(取手～いわき),True
omitama,208,ibaraki,kasama,208,ibaraki,train,Hatori,Iwama,,,,JPRail 11229,JR常磐線(取手～いわき),True
kasama,208,ibaraki,omitama,208,ibaraki,train,Iwama,Hatori,,,,JPRail 11229,JR常磐線(取手～いわき),True
kasama,208,ibaraki,kasama,208,ibaraki,train,Iwama,Tomobe,,,,JPRail 11229,JR常磐線(取手～いわき),True
kasama,208,ibaraki,kasama,208,ibaraki,train,Tomobe,Iwama,,,,JPRail 11229,JR常磐線(取手～いわき),True
kasama,208,ibaraki,mito,208,ibaraki,train,Tomobe,Uchihara,,,,JPRail 11229,JR常磐線(取手～いわき),True
mito,208,ibaraki,kasama,208,ibaraki,train,Uchihara,Tomobe,,,,JPRail 11229,JR常磐線(取手～いわき),True
mito,208,ibaraki,mito,208,ibaraki,train,Uchihara,Akatsuka,,,,JPRail 11229,JR常磐線(取手～いわき),True
mito,208,ibaraki,mito,208,ibaraki,train,Akatsuka,Uchihara,,,,JPRail 11229,JR常磐線(取手～いわき),True
mito,208,ibaraki,mito,208,ibaraki,train,Akatsuka,Kairakuen,,,,JPRail 11229,JR常磐線(取手～いわき),True
mito,208,ibaraki,mito,208,ibaraki,train,Kairakuen,Akatsuka,,,,JPRail 11229,JR常磐線(取手～いわき),True
mito,208,ibaraki,mito,208,ibaraki,train,Kairakuen,Mito,,,,JPRail 11229,JR常磐線(取手～いわき),True
mito,208,ibaraki,mito,208,ibaraki,train,Mito,Kairakuen,,,,JPRail 11229,JR常磐線(取手～いわき),True
mito,208,ibaraki,hitachinaka,208,ibaraki,train,Mito,Katsuta,,,,JPRail 11229,JR常磐線(取手～いわき),True
