from_city,from_region_id,from_region_name,to_city,to_region_id,to_region_name,type,from_station,to_station,duration,distance,cost,route_id,route_name,enabled,from_lat,from_lon,to_lat,to_lon
beijing,1001.0,beijing,hohhot,3002.0,inner mongolia,flight,PEK,HET,85,,,1111,shenzhen airlines,True,,,,
beijing,1001.0,beijing,yulin,1005.0,guangxizhuangzuzizhiqu,flight,PEK,YLX,220,,,7127,hainan airlines,True,,,,
beijing,1001.0,beijing,holingol,3002.0,inner mongolia,flight,PEK,HUO,110,,,7193,hainan airlines,True,,,,
beijing,1001.0,beijing,tianjin,1020.0,tianjin,flight,PEK,TSN,40,,,3802,tianjin air cargo,True,,,,
beijing,1001.0,beijing,shangrao,1013.0,jiangxi,flight,PEK,SQD,140,,,1895,shenzhen airlines,True,,,,
beijing,1001.0,beijing,jixi,1008.0,heilongjiang,flight,PEK,JXA,150,,,7123,hainan airlines,True,,,,
beijing,1001.0,beijing,naha,247.0,okinawa,flight,PEK,OKA,270,,,831,air china ltd,True,,,,
beijing,1001.0,beijing,changsha,1011.0,hunan,flight,PKX,CSX,170,,,3148,china southern airlines,True,,,,
beijing,1001.0,beijing,chengdu,1019.0,sichuan,flight,PKX,CTU,190,,,6161,china southern airlines,True,,,,
beijing,1001.0,beijing,harbin,1008.0,heilongjiang,flight,PKX,HRB,135,,,6204,china southern airlines,True,,,,
beijing,1001.0,beijing,changde,1011.0,hunan,flight,PKX,CGD,155,,,8905,china southern airlines,True,,,,
beijing,1001.0,beijing,yulin,1018.0,shanxi,flight,PKX,UYN,90,,,8128,china eastern airlines,True,,,,
beijing,1001.0,beijing,haikou,3001.0,hainan,flight,PKX,HAK,230,,,8158,china eastern airlines,True,,,,
beijing,1001.0,beijing,chizhou,1000.0,anhui,flight,PKX,JUH,115,,,8244,china eastern airlines,True,,,,
beijing,1001.0,beijing,zhuhai,1004.0,guangdong,flight,PKX,ZUH,185,,,3236,xiamen airlines,True,,,,
beijing,1001.0,beijing,shanghai,1017.0,shanghai,flight,PKX,SHA,130,,,5347,sichuan airlines,True,,,,
beijing,1001.0,beijing,songyuan,1014.0,jilin,flight,PKX,YSQ,120,,,8172,china eastern airlines,True,,,,
beijing,1001.0,beijing,wenzhou,1021.0,zhejiang,flight,PKX,WNZ,145,,,8180,china eastern airlines,True,,,,
beijing,1001.0,beijing,enshi,1010.0,hubei,flight,PKX,ENH,150,,,3169,xiamen airlines,True,,,,
beijing,1001.0,beijing,guangzhou,1004.0,guangdong,flight,PKX,CAN,195,,,3882,xiamen airlines,True,,,,
beijing,1001.0,beijing,hulunbuir,3002.0,inner mongolia,flight,PKX,HLD,140,,,7086,xiamen airlines,True,,,,
beijing,1001.0,beijing,hangzhou,1021.0,zhejiang,flight,PKX,HGH,135,,,8855,china southern airlines,True,,,,
beijing,1001.0,beijing,xian,1018.0,shanxi,flight,PKX,XIY,130,,,8829,china southern airlines,True,,,,
beijing,1001.0,beijing,manzhouli,3002.0,inner mongolia,flight,PKX,NZL,130,,,9844,china southern airlines,True,,,,
beijing,1001.0,beijing,sanya,3001.0,hainan,flight,PKX,SYX,250,,,5677,china southern airlines,True,,,,
beijing,1001.0,beijing,changchun,1014.0,jilin,flight,PKX,CGQ,115,,,6180,china southern airlines,True,,,,
beijing,1001.0,beijing,xiamen,1003.0,fujian,flight,PKX,XMN,180,,,8957,china southern airlines,True,,,,
beijing,1001.0,beijing,chengdu,1019.0,sichuan,flight,PKX,TFU,195,,,8072,china eastern airlines,True,,,,
beijing,1001.0,beijing,dali,3006.0,yunnan,flight,PKX,DLU,220,,,5713,xiamen airlines,True,,,,
beijing,1001.0,beijing,chongqing,1002.0,chongqing,flight,PKX,CKG,175,,,2002,chongqing airlines,True,,,,
beijing,1001.0,beijing,guilin,1005.0,guangxizhuangzuzizhiqu,flight,PKX,KWL,190,,,3288,china southern airlines,True,,,,
beijing,1001.0,beijing,guiyang,1006.0,guizhou,flight,PKX,KWE,200,,,3682,china southern airlines,True,,,,
beijing,1001.0,beijing,wuhan,1010.0,hubei,flight,PKX,WUH,145,,,6606,china southern airlines,True,,,,
beijing,1001.0,beijing,xining,3004.0,qinghai,flight,PKX,XNN,160,,,5207,beijing capital airlines,True,,,,
beijing,1001.0,beijing,jiayuguan,3000.0,gansu,flight,PKX,JGN,205,,,8211,xiamen airlines,True,,,,
beijing,1001.0,beijing,kunming,3006.0,yunnan,flight,PKX,KMG,240,,,8483,xiamen airlines,True,,,,
beijing,1001.0,beijing,shenzhen,1004.0,guangdong,flight,PKX,SZX,195,,,3156,china southern airlines,True,,,,
beijing,1001.0,beijing,urumqi,3005.0,xinjiang,flight,PKX,URC,260,,,6904,china southern airlines,True,,,,
beijing,1001.0,beijing,shashi,1010.0,hubei,flight,PKX,SHS,145,,,8240,china eastern airlines,True,,,,
beijing,1001.0,beijing,fuzhou,1003.0,fujian,flight,PKX,FOC,170,,,8178,china eastern airlines,True,,,,
beijing,1001.0,beijing,wuzhou,1005.0,guangxizhuangzuzizhiqu,flight,PKX,WUZ,200,,,8090,china eastern airlines,True,,,,
beijing,1001.0,beijing,ningbo,1021.0,zhejiang,flight,PKX,NGB,125,,,7110,xiamen airlines,True,,,,
beijing,1001.0,beijing,jieyang,1004.0,guangdong,flight,PKX,SWA,190,,,3898,china southern airlines,True,,,,
beijing,1001.0,beijing,ganzhou,1013.0,jiangxi,flight,PKX,KOW,170,,,8971,china southern airlines,True,,,,
beijing,1001.0,beijing,dongying,1016.0,shandong,flight,PKX,DOY,65,,,8270,china eastern airlines,True,,,,
beijing,1001.0,beijing,lanzhou,3000.0,gansu,flight,PKX,LHW,160,,,8929,china southern airlines,True,,,,
beijing,1001.0,beijing,tokyo,213.0,tokyo,flight,PKX,HND,260,,,5074,jet linx aviation,True,,,,
beijing,1001.0,beijing,wuhu,1000.0,anhui,flight,PKX,WHA,135,,,8106,china eastern airlines,True,,,,
beijing,1001.0,beijing,jinghong,3006.0,yunnan,flight,PKX,JHG,250,,,3720,xiamen airlines,True,,,,
beijing,1001.0,beijing,qingyang,3000.0,gansu,flight,PKX,IQN,115,,,9864,china southern airlines,True,,,,
beijing,1001.0,beijing,longnan,3000.0,gansu,flight,PKX,LNL,150,,,9868,china southern airlines,True,,,,
beijing,1001.0,beijing,osaka,227.0,osaka,flight,PKX,KIX,240,,,7053,sichuan airlines,True,,,,
beijing,1001.0,beijing,jishou,1011.0,hunan,flight,PKX,DXJ,160,,,8164,china eastern airlines,True,,,,
beijing,1001.0,beijing,dalian,1015.0,liaoning,flight,PKX,DLC,80,,,4782,shenzhen airlines,True,,,,
beijing,1001.0,beijing,shanghai,1017.0,shanghai,flight,PKX,PVG,135,,,5757,juneyao airlines,True,,,,
beijing,1001.0,beijing,daqing,1008.0,heilongjiang,flight,PKX,DQA,130,,,4331,klm,True,,,,
beijing,1001.0,beijing,nanchang,1013.0,jiangxi,flight,PKX,KHN,140,,,3456,xiamen airlines,True,,,,
beijing,1001.0,beijing,chenzhou,1011.0,hunan,flight,PKX,HCZ,170,,,8088,china eastern airlines,True,,,,
beijing,1001.0,beijing,zhoushan,1021.0,zhejiang,flight,PKX,HSN,140,,,8260,china eastern airlines,True,,,,
beijing,1001.0,beijing,nanjing,1012.0,jiangsu,flight,PKX,NKG,120,,,6898,china express air,True,,,,
beijing,1001.0,beijing,yantai,1016.0,shandong,flight,PKX,YNT,90,,,5743,shandong airlines,True,,,,
beijing,1001.0,beijing,yinchuan,3003.0,ningxia,flight,PKX,INC,130,,,9840,china southern airlines,True,,,,
beijing,1001.0,beijing,beihai,1005.0,guangxizhuangzuzizhiqu,flight,PKX,BHY,235,,,8248,china eastern airlines,True,,,,
beijing,1001.0,beijing,yichang,1010.0,hubei,flight,PKX,YIH,140,,,6204,donghai airlines,True,,,,
beijing,1001.0,beijing,nantong,1012.0,jiangsu,flight,PKX,NTG,105,,,4661,shenzhen airlines,True,,,,
beijing,1001.0,beijing,wuhai,3002.0,inner mongolia,flight,PKX,WUA,125,,,4871,shenzhen airlines,True,,,,
beijing,1001.0,beijing,bazhong,1019.0,sichuan,flight,PKX,BZX,155,,,4869,shenzhen airlines,True,,,,
beijing,1001.0,beijing,tongliao,3002.0,inner mongolia,flight,PKX,TGO,95,,,4937,shenzhen airlines,True,,,,
beijing,1001.0,beijing,zhanjiang,1004.0,guangdong,flight,PKX,ZHA,230,,,8266,china eastern airlines,True,,,,
beijing,1001.0,beijing,ordos,3002.0,inner mongolia,flight,PKX,DSN,105,,,8078,china eastern airlines,True,,,,
beijing,1001.0,beijing,jingdezhen,1013.0,jiangxi,flight,PKX,JDZ,120,,,4921,shenzhen airlines,True,,,,
beijing,1001.0,beijing,luliang,1018.0,shanxi,flight,PKX,LLV,85,,,8184,china eastern airlines,True,,,,
